batch,person,level,Timestep,ipscore,Weight,Amp,Att_feats,norm,choosed
0,2,0,16,4.8399645e-05,0.13585897,-0.02129977,0.039197125,0.44406667,Yes
0,2,0,17,0.0053022834,0.13606907,0.19956507,0.21403769,0.46783066,Yes
0,2,0,18,0.000314394,0.13602902,-0.019015506,0.07904481,0.52354187,Yes
0,2,0,19,0.0004173413,0.13581297,-0.02302675,-0.0076410426,0.583545,Yes
0,2,0,20,-0.000568421,0.13476391,-0.06610686,0.10615127,0.60850334,Yes
0,2,0,21,-0.00013609235,0.13451947,0.027516076,0.090136625,0.7025629,Yes
0,2,0,22,-0.0007125935,0.13421276,-0.06996237,0.058516327,0.7631141,Yes
0,2,0,23,-0.00011434564,0.1337925,0.007217373,0.031682555,0.84529096,Yes
0,2,0,24,4.6773162e-05,0.13247603,-0.031810153,0.042669423,0.9080035,Yes
0,2,1,0,1.343956e-05,0.14478077,-0.0067878673,0.06905555,0.022764454,Yes
0,2,1,1,-0.0004369425,0.14425161,0.032403495,0.07008638,0.047739476,Yes
0,2,1,2,-8.975572e-06,0.14355232,-0.0034464793,0.075974464,0.07228437,Yes
0,2,1,3,1.8981473e-05,0.14253825,0.006755609,0.066206954,0.122047774,No
0,2,1,4,-5.984725e-06,0.14331716,-0.0019705743,0.043146215,0.21701436,No
0,2,1,5,2.0186649e-06,0.14304525,0.00069185515,0.03526843,0.31561887,No
0,2,1,6,-8.3888975e-05,0.14148732,-0.03264437,0.029121881,0.40434623,No
0,2,1,7,-5.389421e-05,0.14188729,-0.020774791,0.04117823,0.4374189,No
0,2,1,8,-8.299221e-05,0.14122745,-0.027957851,-0.018749325,0.5156808,No
0,2,1,9,-1.7936118e-05,0.1418095,-0.0074510965,0.12620464,0.58920026,No
0,2,1,10,-3.0432931e-05,0.14139737,-0.009868922,0.03708906,0.652907,No
0,2,1,11,0.0005309537,0.13962528,0.23100354,0.12809084,0.6638739,No
0,2,1,12,0.00013708157,0.14036484,0.051486537,0.09417659,0.75755477,No
0,2,1,13,-8.890199e-06,0.13997307,-0.0032848062,-0.018471701,0.8653447,No
0,2,1,14,-5.608492e-05,0.1392102,-0.02367497,0.077582985,0.86022854,No
0,2,1,15,5.066582e-05,0.13941242,0.021289773,0.080021955,0.9202016,No
0,2,1,16,-5.0162835e-05,0.13904631,-0.02129977,0.039461784,0.94047743,No
0,2,1,17,0.00042670412,0.13926755,0.19956507,0.21446206,1.0068271,No
0,2,1,18,-4.2706502e-05,0.13974606,-0.019015506,0.079037845,1.041752,No
0,2,1,19,-4.83246e-05,0.13918418,-0.02302675,-0.00710689,1.0887699,No
0,2,1,20,-0.000113815404,0.13872343,-0.06610686,0.10634312,1.1039406,No
0,2,1,21,5.252345e-05,0.13781588,0.027516076,0.09006336,1.1437039,No
0,2,1,22,-0.00013929444,0.13845018,-0.06996237,0.058414068,1.1465912,No
0,2,1,23,1.0470736e-05,0.1380102,0.007217373,0.031662215,1.1727494,No
0,2,1,24,-4.5491837e-05,0.13708651,-0.031810153,0.043237034,1.1015464,No
0,2,2,0,-2.7557571e-05,0.14240943,-0.0067878673,0.06852391,0.33625713,No
0,2,2,1,0.00013210945,0.14882469,0.032403495,0.07133098,0.66695523,No
0,2,2,2,-1.3562757e-05,0.14088342,-0.0034464793,0.07621104,0.19344838,No
0,2,2,3,2.8540546e-05,0.14061509,0.006755609,0.06677376,0.14842135,No
0,2,2,4,-7.922575e-06,0.14288695,-0.0019705743,0.042686734,0.19046924,No
0,2,2,5,3.6084352e-06,0.14048968,0.00069185515,0.03655298,0.23656707,Yes
0,2,2,6,-0.00015520294,0.13809866,-0.03264437,0.029619928,0.36823672,No
0,2,2,7,-0.000115304836,0.1380074,-0.020774791,0.041222215,0.3908177,No
0,2,2,8,-0.00016281212,0.13609768,-0.027957851,-0.018395245,0.52071995,No
0,2,2,9,-4.8009137e-05,0.13547188,-0.0074510965,0.1271399,0.5926967,No
0,2,2,10,-7.096148e-05,0.13363126,-0.009868922,0.037967715,0.6318286,No
0,2,2,11,0.0014289259,0.13103107,0.23100354,0.12870793,0.74920774,No
0,2,2,12,0.00037482072,0.12941144,0.051486537,0.09497694,0.8284233,No
0,2,2,13,-2.6590802e-05,0.12748869,-0.0032848062,-0.017808225,0.8991303,No
0,2,2,14,-0.00018302987,0.12587371,-0.02367497,0.07721138,0.92232996,No
0,2,2,15,0.0001782012,0.122896045,0.021289773,0.08092306,1.0090054,No
0,2,2,16,-0.00018752695,0.12112843,-0.02129977,0.040711753,1.0577635,No
0,2,2,17,0.001723973,0.11942635,0.19956507,0.21459045,1.1806569,No
0,2,2,18,-0.00017362324,0.117326654,-0.019015506,0.07947793,1.2063812,No
0,2,2,19,-0.00021542847,0.116376966,-0.02302675,-0.0057384702,1.2399411,No
0,2,2,20,-0.0006110856,0.11203913,-0.06610686,0.106016606,1.4345282,No
0,2,2,21,0.00026960447,0.10939899,0.027516076,0.091793,1.4129372,No
0,2,2,22,-0.00070362457,0.108028054,-0.06996237,0.059015334,1.544049,No
0,2,2,23,7.1644245e-05,0.103640005,0.007217373,0.033285033,1.7138537,No
0,2,2,24,-0.00032103914,0.100323915,-0.031810153,0.043869697,1.6845856,No
0,3,0,0,0.00010931361,0.112754084,-0.0067878673,-0.025943004,0.26128167,No
0,3,0,1,-0.00059739867,0.1160521,0.032403495,-0.024643961,0.8061143,No
0,3,0,2,2.2289034e-05,0.11816984,-0.0034464793,-0.018672138,0.19279191,No
0,3,0,3,-0.00012506735,0.11724608,0.006755609,-0.02840253,0.13927178,No
0,3,0,4,3.572207e-05,0.118071005,-0.0019705743,-0.053014915,0.18716563,No
0,3,0,5,-9.636352e-06,0.120057605,0.00069185515,-0.060893696,0.22588232,Yes
0,3,0,6,0.00042141785,0.12101733,-0.03264437,-0.06791942,0.27319124,Yes
0,3,0,7,0.0004538133,0.12274096,-0.020774791,-0.05642888,0.29328012,Yes
0,3,0,8,0.0007351045,0.123840824,-0.027957851,-0.116821915,0.3633606,Yes
0,3,0,9,7.7150435e-05,0.124479316,-0.0074510965,0.02824987,0.36615288,Yes
0,3,0,10,0.00021629938,0.1256251,-0.009868922,-0.061435033,0.3956489,No
